"St Aloysius College Autonomous, Mangaluru"
"St Philomena's College, Mysore"
KJC Bangalore - Kristu Jayanti College
"Brindavan College, Bangalore"
"JSS Banashankari Arts, Commerce and Shantikumar Gubbi Science College, Dharwad"
"SJR College for Women, Bangalore"
"REVA Institute of Science and Management, Bangalore"
IBMT Bangalore - Institute of Business Management and Technology
"Karnataka College of Management and Science, Bangalore"
"HKBK Degree College, Bangalore"
"Shri Prabhu Arts Science and JM Bohara Commerce College, Shorapur"
