"Srinivas University, Mangalore"
"Vivekananda Institute of Technology, Bangalore"
SIT Bangalore - Sambhram Institute of Technology
BLDEACET Bijapur - BLDEA's VP Dr PG Halakatti College of Engineering and Technology
"RR Institute of Technology, Bangalore"
"Jain Institute of Technology, Davangere"
GMIT Davanagere - GM Institute of Technology
PACE Mangalore - PA College of Engineering
SMVITM Udupi - Shri Madhwa Vadiraja Institute of Technology and Management
"KLS Vishwanathrao Deshpande Rural Institute of Technology, Haliyal"
KSIT Bangalore - KS Institute of Technology
GSSSIETW Mysore - GSSS Institute of Engineering and Technology for Women
AIET Gulbarga - Appa Institute of Engineering and Technology
"Vemana Institute of Technology, Bangalore"
SEACET Bangalore - SEA College of Engineering and Technology
VVIET Mysore - Vidya Vikas Institute of Engineering and Technology
"Dr T Thimmaiah Institute of Technology, Kolar"
GNDEC Bidar - Guru Nanak Dev Engineering College
"Sri Sairam College of Engineering, Bangalore"
"Dr Sri Sri Sri Shivakumara Mahaswamy College of Engineering, Bangalore"
KSSEM Bangalore - KS School of Engineering and Management
BTI Bangalore - Bangalore Technological Institute
KNSIT Bangalore - KNS Institute of Technology
"Rao Bahadur Y Mahabaleshwarappa Engineering College, Bellary"
AITM Belgaum - Angadi Institute Of Technology And Management
"RL Jalappa Institute of Technology, Bangalore"
VVIT Bangalore - Vijaya Vittala Institute of Technology
"Akshaya Institute of Technology, Tumkur"
CEC Bangalore - City Engineering College
KBNCE Gulbarga - Khaja Banda Nawaz College of Engineering
