"Haribhai V Desai College of Commerce Arts and Science, Pune"
"DBF Dayanand College of Arts and Science, Solapur"
"S K Somaiya Degree College Of Arts, Science and Commerce, Mumbai"
"Saket College of Arts Science and Commerce, Mumbai"
"Dayanand Science College, Latur"
"MAEER's Arts Commerce and Science College, Pune"
"Pillai HOC College of Arts Science and Commerce, Raigad"
"Balbhim Art's Science and Commerce College, Beed"
"Sangola College, Sangola"
"V K Krishna Menon College of Commerce and Economics and Sharad Shankar Dighe College of Science, Mumbai"
"Kankavli College, Kankavli"
"Dattajirao Kadam Arts Science and Commerce College, Ichalkaranji"
"Arihant College of Arts Commerce and Science, Pune"
"SBB Alias Appasaheb Jedhe Arts Commerce and Science College, Pune"
"MCE Society's Abeda Inamdar Senior College of Arts Science and Commerce, Pune"
"The New College, Kolhapur"
"Shri Chhatrapati Shivaji Mahavidyalaya, Ahmednagar"
"Lords Universal College, Mumbai"
"Sanskar Mandir's Arts and Commerce College, Pune"
"Hutatma Rajguru Mahavidyalaya, Pune"
"Shree Siddhivinayak Mahila Mahavidyalaya, Pune"
"Shri GPM Degree College, Mumbai"
"ASM's College of Commerce Science and Information Technology, Pune"
"Dr Arvind B Telang Senior College of Arts Science and Commerce, Pune"
"RB Narayanrao Borawake College, Ahmednagar"
"Yogeshwari Mahavidyalaya, Ambajogai"
"S K College of Science and Commerce, Navi Mumbai"
MMCC Pune - Marathwada Mitra Mandal's College of Commerce
"MS College of Arts Science Commerce and BMS, Thane"
"Mahatma Gandhi Vidyamandirs Panchvati College of  Management and Computer Science, Panchvati"
