"PR Pote College of Engineering and Management, Amravati"
"Sinhgad Institute of Technology, Lonavala"
SVERI College of Engineering Pandharpur - Shri Vithal Education and Research Institute's College of Engineering
"Prof Ram Meghe College of Engineering and Management, Badnera"
PHCET Rasayani - Pillai’s HOC College of Engineering and Technology
"Viva Institute of Technology, Thane"
SITS Narhe - Sinhgad Institute of Technology and Science
"Dr DY Patil Technical Campus, Pune"
PVPIT Pune - Padmabhooshan Vasantdada Patil Institute of Technology
"Universal College of Engineering, Thane"
"Fabtech Technical Campus, Solapur"
"RCERT Chandrapur - Rajiv Gandhi College of Engineering, Research and Technology"
"Xavier Institute of Engineering, Mumbai"
"RMD Sinhgad School of Engineering, Warje"
"JD College of Engineering and Management, Nagpur"
"Shivajirao S Jondhale College of Engineering, Thane"
"New Horizon Institute of Technology and Management, Thane"
"MS Bidve Engineering College, Latur"
"Karmaveer Bhaurao Patil College of Engineering, Satara"
"Matoshri College of Engineering and Research Centre, Nashik"
"Bharati Vidyapeeth's College of Engineering for Women, Pune"
"DY Patil School of Engineering Academy, Ambi"
KDK Nagpur - KDK College of Engineering
"SVPM's College of Engineering, Pune"
"Adarsh Institute of Technology and Research Center, Sangli"
"Godavari College of Engineering, Jalgaon"
"GH Raisoni Institute of Engineering and Technology, Pune"
ACET Nagpur - Anjuman College of Engineering and Technology
"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal"
PREC Loni - Pravara Rural Engineering College
